geo_type,region,transportation_type,alternative_name,sub-region,country,dates,relative_mobility
city,Providence,driving,NA,Rhode Island,United States,2020-04-17,74.01
city,Providence,driving,NA,Rhode Island,United States,2020-04-18,60.47
city,Providence,driving,NA,Rhode Island,United States,2020-04-19,59.04
city,Providence,driving,NA,Rhode Island,United States,2020-04-20,65.04
city,Providence,driving,NA,Rhode Island,United States,2020-04-21,60.8
city,Providence,driving,NA,Rhode Island,United States,2020-04-22,66.59
city,Providence,driving,NA,Rhode Island,United States,2020-04-23,69.53
city,Providence,driving,NA,Rhode Island,United States,2020-04-24,73.01
city,Providence,driving,NA,Rhode Island,United States,2020-04-25,78.2
city,Providence,driving,NA,Rhode Island,United States,2020-04-26,52.11
city,Providence,driving,NA,Rhode Island,United States,2020-04-27,62.91
city,Providence,driving,NA,Rhode Island,United States,2020-04-28,71.38
city,Providence,driving,NA,Rhode Island,United States,2020-04-29,75.97
city,Providence,driving,NA,Rhode Island,United States,2020-04-30,70.15
city,Providence,driving,NA,Rhode Island,United States,2020-05-01,84.87
city,Providence,driving,NA,Rhode Island,United States,2020-05-02,85.85
city,Providence,driving,NA,Rhode Island,United States,2020-05-03,73.48
city,Providence,driving,NA,Rhode Island,United States,2020-05-04,76.33
city,Providence,driving,NA,Rhode Island,United States,2020-05-05,83.76
city,Providence,driving,NA,Rhode Island,United States,2020-05-06,80.65
city,Providence,driving,NA,Rhode Island,United States,2020-05-07,84.28
city,Providence,driving,NA,Rhode Island,United States,2020-05-08,92.69
city,Providence,driving,NA,Rhode Island,United States,2020-05-09,90.87
city,Providence,driving,NA,Rhode Island,United States,2020-05-10,74.04
city,Providence,driving,NA,Rhode Island,United States,2020-05-11,NA
city,Providence,driving,NA,Rhode Island,United States,2020-05-12,NA
city,Providence,driving,NA,Rhode Island,United States,2020-05-13,94.39
city,Providence,driving,NA,Rhode Island,United States,2020-05-14,99.44
city,Providence,driving,NA,Rhode Island,United States,2020-05-15,110.16
city,Providence,driving,NA,Rhode Island,United States,2020-05-16,112.68
city,Providence,driving,NA,Rhode Island,United States,2020-05-17,86.86
city,Providence,driving,NA,Rhode Island,United States,2020-05-18,93.06
city,Providence,driving,NA,Rhode Island,United States,2020-05-19,103.92
city,Providence,driving,NA,Rhode Island,United States,2020-05-20,108.99
city,Providence,driving,NA,Rhode Island,United States,2020-05-21,110.81
city,Providence,driving,NA,Rhode Island,United States,2020-05-22,133.45
city,Providence,driving,NA,Rhode Island,United States,2020-05-23,105.43
city,Providence,driving,NA,Rhode Island,United States,2020-05-24,101.26
city,Providence,driving,NA,Rhode Island,United States,2020-05-25,89.53
city,Providence,driving,NA,Rhode Island,United States,2020-05-26,114.45
city,Providence,driving,NA,Rhode Island,United States,2020-05-27,119.37
city,Providence,driving,NA,Rhode Island,United States,2020-05-28,114.76
city,Providence,driving,NA,Rhode Island,United States,2020-05-29,131.1
