geo_type,region,transportation_type,alternative_name,sub-region,country,dates,relative_mobility
city,Boston,driving,NA,Massachusetts,United States,2020-04-05,35.41
city,Boston,driving,NA,Massachusetts,United States,2020-04-06,42.53
city,Boston,driving,NA,Massachusetts,United States,2020-04-07,43.91
city,Boston,driving,NA,Massachusetts,United States,2020-04-08,40.27
city,Boston,driving,NA,Massachusetts,United States,2020-04-09,39.41
city,Boston,driving,NA,Massachusetts,United States,2020-04-10,48.47
city,Boston,driving,NA,Massachusetts,United States,2020-04-11,47.59
city,Boston,driving,NA,Massachusetts,United States,2020-04-12,31.69
city,Boston,driving,NA,Massachusetts,United States,2020-04-13,35.54
city,Boston,driving,NA,Massachusetts,United States,2020-04-14,47.43
city,Boston,driving,NA,Massachusetts,United States,2020-04-15,46.97
city,Boston,driving,NA,Massachusetts,United States,2020-04-16,46.27
city,Boston,driving,NA,Massachusetts,United States,2020-04-17,53.2
city,Boston,driving,NA,Massachusetts,United States,2020-04-18,41.13
city,Boston,driving,NA,Massachusetts,United States,2020-04-19,45.87
city,Boston,driving,NA,Massachusetts,United States,2020-04-20,45.71
city,Boston,driving,NA,Massachusetts,United States,2020-04-21,44.37
city,Boston,driving,NA,Massachusetts,United States,2020-04-22,47.5
city,Boston,driving,NA,Massachusetts,United States,2020-04-23,52.44
city,Boston,driving,NA,Massachusetts,United States,2020-04-24,50.9
city,Boston,driving,NA,Massachusetts,United States,2020-04-25,58.4
city,Boston,driving,NA,Massachusetts,United States,2020-04-26,38.06
city,Boston,driving,NA,Massachusetts,United States,2020-04-27,42.24
city,Boston,driving,NA,Massachusetts,United States,2020-04-28,50.86
city,Boston,driving,NA,Massachusetts,United States,2020-04-29,54.1
city,Boston,driving,NA,Massachusetts,United States,2020-04-30,50.73
city,Boston,driving,NA,Massachusetts,United States,2020-05-01,57.25
city,Boston,driving,NA,Massachusetts,United States,2020-05-02,62.69
city,Boston,driving,NA,Massachusetts,United States,2020-05-03,55.29
city,Boston,driving,NA,Massachusetts,United States,2020-05-04,54.42
city,Boston,driving,NA,Massachusetts,United States,2020-05-05,59.26
city,Boston,driving,NA,Massachusetts,United States,2020-05-06,58.57
city,Boston,driving,NA,Massachusetts,United States,2020-05-07,60.04
city,Boston,driving,NA,Massachusetts,United States,2020-05-08,66.52
city,Boston,driving,NA,Massachusetts,United States,2020-05-09,61.04
city,Boston,driving,NA,Massachusetts,United States,2020-05-10,52.38
city,Boston,driving,NA,Massachusetts,United States,2020-05-11,NA
city,Boston,driving,NA,Massachusetts,United States,2020-05-12,NA
city,Boston,driving,NA,Massachusetts,United States,2020-05-13,66.27
city,Boston,driving,NA,Massachusetts,United States,2020-05-14,71.08
city,Boston,driving,NA,Massachusetts,United States,2020-05-15,74.47
city,Boston,driving,NA,Massachusetts,United States,2020-05-16,76.4
city,Boston,driving,NA,Massachusetts,United States,2020-05-17,60.86
city,Boston,driving,NA,Massachusetts,United States,2020-05-18,65.56
city,Boston,driving,NA,Massachusetts,United States,2020-05-19,72.19
city,Boston,driving,NA,Massachusetts,United States,2020-05-20,76.46
city,Boston,driving,NA,Massachusetts,United States,2020-05-21,81.03
city,Boston,driving,NA,Massachusetts,United States,2020-05-22,91.34
city,Boston,driving,NA,Massachusetts,United States,2020-05-23,74.19
city,Boston,driving,NA,Massachusetts,United States,2020-05-24,66.67
city,Boston,driving,NA,Massachusetts,United States,2020-05-25,63.76
city,Boston,driving,NA,Massachusetts,United States,2020-05-26,80.92
city,Boston,driving,NA,Massachusetts,United States,2020-05-27,85.74
city,Boston,driving,NA,Massachusetts,United States,2020-05-28,83.99
