geo_type,region,transportation_type,alternative_name,sub-region,country,dates,relative_mobility
county,Androscoggin County,driving,NA,Maine,United States,2020-04-03,70.01
county,Androscoggin County,driving,NA,Maine,United States,2020-04-04,64.26
county,Androscoggin County,driving,NA,Maine,United States,2020-04-05,52.26
county,Androscoggin County,driving,NA,Maine,United States,2020-04-06,67.56
county,Androscoggin County,driving,NA,Maine,United States,2020-04-07,69
county,Androscoggin County,driving,NA,Maine,United States,2020-04-08,74.89
county,Androscoggin County,driving,NA,Maine,United States,2020-04-09,63.88
county,Androscoggin County,driving,NA,Maine,United States,2020-04-10,71.11
county,Androscoggin County,driving,NA,Maine,United States,2020-04-11,74.36
county,Androscoggin County,driving,NA,Maine,United States,2020-04-12,52.48
county,Androscoggin County,driving,NA,Maine,United States,2020-04-13,62.27
county,Androscoggin County,driving,NA,Maine,United States,2020-04-14,83.11
county,Androscoggin County,driving,NA,Maine,United States,2020-04-15,85.18
county,Androscoggin County,driving,NA,Maine,United States,2020-04-16,85.95
county,Androscoggin County,driving,NA,Maine,United States,2020-04-17,91.56
county,Androscoggin County,driving,NA,Maine,United States,2020-04-18,77.02
county,Androscoggin County,driving,NA,Maine,United States,2020-04-19,77.99
county,Androscoggin County,driving,NA,Maine,United States,2020-04-20,86.69
county,Androscoggin County,driving,NA,Maine,United States,2020-04-21,79.84
county,Androscoggin County,driving,NA,Maine,United States,2020-04-22,87.02
county,Androscoggin County,driving,NA,Maine,United States,2020-04-23,92.69
county,Androscoggin County,driving,NA,Maine,United States,2020-04-24,104.91
county,Androscoggin County,driving,NA,Maine,United States,2020-04-25,102.92
county,Androscoggin County,driving,NA,Maine,United States,2020-04-26,68.43
county,Androscoggin County,driving,NA,Maine,United States,2020-04-27,74.74
county,Androscoggin County,driving,NA,Maine,United States,2020-04-28,86.93
county,Androscoggin County,driving,NA,Maine,United States,2020-04-29,101.44
county,Androscoggin County,driving,NA,Maine,United States,2020-04-30,89.26
county,Androscoggin County,driving,NA,Maine,United States,2020-05-01,100.31
county,Androscoggin County,driving,NA,Maine,United States,2020-05-02,109.16
county,Androscoggin County,driving,NA,Maine,United States,2020-05-03,87.32
county,Androscoggin County,driving,NA,Maine,United States,2020-05-04,96.67
county,Androscoggin County,driving,NA,Maine,United States,2020-05-05,100.53
county,Androscoggin County,driving,NA,Maine,United States,2020-05-06,106.31
county,Androscoggin County,driving,NA,Maine,United States,2020-05-07,108.45
county,Androscoggin County,driving,NA,Maine,United States,2020-05-08,123.7
county,Androscoggin County,driving,NA,Maine,United States,2020-05-09,93.34
county,Androscoggin County,driving,NA,Maine,United States,2020-05-10,85.08
county,Androscoggin County,driving,NA,Maine,United States,2020-05-11,NA
county,Androscoggin County,driving,NA,Maine,United States,2020-05-12,NA
county,Androscoggin County,driving,NA,Maine,United States,2020-05-13,119.91
county,Androscoggin County,driving,NA,Maine,United States,2020-05-14,125.72
county,Androscoggin County,driving,NA,Maine,United States,2020-05-15,125.45
county,Androscoggin County,driving,NA,Maine,United States,2020-05-16,131.31
county,Androscoggin County,driving,NA,Maine,United States,2020-05-17,119.65
county,Androscoggin County,driving,NA,Maine,United States,2020-05-18,128.58
county,Androscoggin County,driving,NA,Maine,United States,2020-05-19,135.73
county,Androscoggin County,driving,NA,Maine,United States,2020-05-20,134.54
county,Androscoggin County,driving,NA,Maine,United States,2020-05-21,140.9
county,Androscoggin County,driving,NA,Maine,United States,2020-05-22,156.2
county,Androscoggin County,driving,NA,Maine,United States,2020-05-23,141.35
county,Androscoggin County,driving,NA,Maine,United States,2020-05-24,116.51
county,Androscoggin County,driving,NA,Maine,United States,2020-05-25,110.85
county,Androscoggin County,driving,NA,Maine,United States,2020-05-26,132.28
county,Androscoggin County,driving,NA,Maine,United States,2020-05-27,136.43
county,Androscoggin County,driving,NA,Maine,United States,2020-05-28,148.52
county,Androscoggin County,driving,NA,Maine,United States,2020-05-29,161.52
county,Androscoggin County,driving,NA,Maine,United States,2020-05-30,145.29
county,Androscoggin County,driving,NA,Maine,United States,2020-05-31,119.74
county,Androscoggin County,driving,NA,Maine,United States,2020-06-01,136.83
county,Androscoggin County,driving,NA,Maine,United States,2020-06-02,135.35
county,Androscoggin County,driving,NA,Maine,United States,2020-06-03,131.28
county,Androscoggin County,driving,NA,Maine,United States,2020-06-04,156.41
county,Androscoggin County,driving,NA,Maine,United States,2020-06-05,163.59
county,Androscoggin County,driving,NA,Maine,United States,2020-06-06,141.31
county,Androscoggin County,driving,NA,Maine,United States,2020-06-07,124.07
county,Androscoggin County,driving,NA,Maine,United States,2020-06-08,142.63
county,Androscoggin County,driving,NA,Maine,United States,2020-06-09,149.84
county,Androscoggin County,driving,NA,Maine,United States,2020-06-10,145.34
county,Androscoggin County,driving,NA,Maine,United States,2020-06-11,147.24
county,Androscoggin County,driving,NA,Maine,United States,2020-06-12,181.91
county,Androscoggin County,driving,NA,Maine,United States,2020-06-13,160.06
county,Androscoggin County,driving,NA,Maine,United States,2020-06-14,134.03
county,Androscoggin County,driving,NA,Maine,United States,2020-06-15,149.73
county,Androscoggin County,driving,NA,Maine,United States,2020-06-16,155.35
county,Androscoggin County,driving,NA,Maine,United States,2020-06-17,158.45
county,Androscoggin County,driving,NA,Maine,United States,2020-06-18,167.11
county,Androscoggin County,driving,NA,Maine,United States,2020-06-19,190.42
county,Androscoggin County,driving,NA,Maine,United States,2020-06-20,168.38
county,Androscoggin County,driving,NA,Maine,United States,2020-06-21,136.37
county,Androscoggin County,driving,NA,Maine,United States,2020-06-22,160.64
county,Androscoggin County,driving,NA,Maine,United States,2020-06-23,170.04
county,Androscoggin County,driving,NA,Maine,United States,2020-06-24,161.54
county,Androscoggin County,driving,NA,Maine,United States,2020-06-25,182.59
county,Androscoggin County,driving,NA,Maine,United States,2020-06-26,193.59
