geo_type,region,transportation_type,alternative_name,sub-region,country,dates,relative_mobility
city,Seattle,driving,NA,Washington,United States,2020-04-24,74.79
city,Seattle,driving,NA,Washington,United States,2020-04-25,69.68
city,Seattle,driving,NA,Washington,United States,2020-04-26,57.89
city,Seattle,driving,NA,Washington,United States,2020-04-27,65.61
city,Seattle,driving,NA,Washington,United States,2020-04-28,67.11
city,Seattle,driving,NA,Washington,United States,2020-04-29,69.1
city,Seattle,driving,NA,Washington,United States,2020-04-30,72.43
city,Seattle,driving,NA,Washington,United States,2020-05-01,84.28
city,Seattle,driving,NA,Washington,United States,2020-05-02,71.53
city,Seattle,driving,NA,Washington,United States,2020-05-03,63.05
city,Seattle,driving,NA,Washington,United States,2020-05-04,72.73
city,Seattle,driving,NA,Washington,United States,2020-05-05,80.3
city,Seattle,driving,NA,Washington,United States,2020-05-06,77.21
city,Seattle,driving,NA,Washington,United States,2020-05-07,85.33
city,Seattle,driving,NA,Washington,United States,2020-05-08,100.16
city,Seattle,driving,NA,Washington,United States,2020-05-09,97.42
city,Seattle,driving,NA,Washington,United States,2020-05-10,76.31
city,Seattle,driving,NA,Washington,United States,2020-05-11,NA
city,Seattle,driving,NA,Washington,United States,2020-05-12,NA
city,Seattle,driving,NA,Washington,United States,2020-05-13,87.1
city,Seattle,driving,NA,Washington,United States,2020-05-14,90.15
city,Seattle,driving,NA,Washington,United States,2020-05-15,109.22
city,Seattle,driving,NA,Washington,United States,2020-05-16,90.43
city,Seattle,driving,NA,Washington,United States,2020-05-17,80.87
city,Seattle,driving,NA,Washington,United States,2020-05-18,93.04
city,Seattle,driving,NA,Washington,United States,2020-05-19,96.05
city,Seattle,driving,NA,Washington,United States,2020-05-20,94.78
city,Seattle,driving,NA,Washington,United States,2020-05-21,97.15
city,Seattle,driving,NA,Washington,United States,2020-05-22,115.62
city,Seattle,driving,NA,Washington,United States,2020-05-23,105.36
city,Seattle,driving,NA,Washington,United States,2020-05-24,91.17
city,Seattle,driving,NA,Washington,United States,2020-05-25,78.55
city,Seattle,driving,NA,Washington,United States,2020-05-26,100.3
city,Seattle,driving,NA,Washington,United States,2020-05-27,107.78
city,Seattle,driving,NA,Washington,United States,2020-05-28,109.49
city,Seattle,driving,NA,Washington,United States,2020-05-29,125.05
city,Seattle,driving,NA,Washington,United States,2020-05-30,99.07
city,Seattle,driving,NA,Washington,United States,2020-05-31,86.27
city,Seattle,driving,NA,Washington,United States,2020-06-01,105.39
city,Seattle,driving,NA,Washington,United States,2020-06-02,105.19
city,Seattle,driving,NA,Washington,United States,2020-06-03,112.73
city,Seattle,driving,NA,Washington,United States,2020-06-04,112.01
city,Seattle,driving,NA,Washington,United States,2020-06-05,126.11
city,Seattle,driving,NA,Washington,United States,2020-06-06,114.78
city,Seattle,driving,NA,Washington,United States,2020-06-07,95.27
city,Seattle,driving,NA,Washington,United States,2020-06-08,108.67
city,Seattle,driving,NA,Washington,United States,2020-06-09,108.86
city,Seattle,driving,NA,Washington,United States,2020-06-10,120.18
city,Seattle,driving,NA,Washington,United States,2020-06-11,123.64
city,Seattle,driving,NA,Washington,United States,2020-06-12,140.5
city,Seattle,driving,NA,Washington,United States,2020-06-13,121.4
city,Seattle,driving,NA,Washington,United States,2020-06-14,107.5
city,Seattle,driving,NA,Washington,United States,2020-06-15,113.97
city,Seattle,driving,NA,Washington,United States,2020-06-16,123.87
city,Seattle,driving,NA,Washington,United States,2020-06-17,131.26
city,Seattle,driving,NA,Washington,United States,2020-06-18,139.66
city,Seattle,driving,NA,Washington,United States,2020-06-19,157.97
city,Seattle,driving,NA,Washington,United States,2020-06-20,134.27
city,Seattle,driving,NA,Washington,United States,2020-06-21,108.02
city,Seattle,driving,NA,Washington,United States,2020-06-22,137.75
